material_name,category,unit,city,supplier_name,avg_price_sar,price_date,quality_grade
Cement (ton),Cement,ton,Riyadh,Siemens Saudi,436.9,2024-09-10,Premium
Cement (ton),Cement,ton,Riyadh,Arabian Pipes,436.9,2024-07-06,Premium
Rebar 60ksi (ton),Rebar 60ksi,ton,Riyadh,Al-Fanar Group,3925.84,2024-11-06,Standard
Rebar 60ksi (ton),Rebar 60ksi,ton,Riyadh,Al-Zamil Steel,3925.84,2024-07-20,Premium
Ready Mix Concrete (m3),Ready Mix Concrete,m3,Riyadh,Qassim Cement,325.13,2024-03-23,Standard
Hollow Block (m2),Hollow Block,m2,Riyadh,Saudi Chemical Co.,38.44,2024-11-10,Premium
Hollow Block (m2),Hollow Block,m2,Riyadh,Siemens Saudi,38.44,2024-10-16,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Riyadh,Saudi Technical Supply,65.73,2024-10-28,Economy
Porcelain Tiles (m2),Porcelain Tiles,m2,Riyadh,Saudi Building Materials Co.,65.73,2024-07-07,Standard
Marble (m2),Marble,m2,Riyadh,Saudi Chemical Co.,177.8,2024-01-12,Premium
Marble (m2),Marble,m2,Riyadh,Saudi Plaster,177.8,2024-05-02,Economy
Paint (gallon),Paint,gal,Riyadh,Al-Fanar Group,66.68,2024-10-22,Premium
Paint (gallon),Paint,gal,Riyadh,Al-Dabbagh Group,66.68,2024-10-07,Premium
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Riyadh,Siemens Saudi,24.72,2024-01-17,Standard
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Riyadh,Schneider Saudi,24.72,2024-10-22,Economy
PVC Pipe 110mm (m),PVC Pipe 110mm,m,Riyadh,Kone Saudi,24.72,2024-05-18,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Riyadh,Southern Province Cement,30.07,2024-08-20,Economy
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Riyadh,Al-Madina Cement,30.07,2024-08-24,Premium
Copper Pipe 15mm (m),Copper Pipe 15mm,m,Riyadh,Al-Muhaidib Group,30.07,2024-04-10,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Riyadh,Al-Jabr Trading,4.95,2024-08-03,Standard
Electrical Cable 4mm (m),Electrical Cable 4mm,m,Riyadh,Otis Saudi,4.95,2024-09-05,Economy
Aluminum Window (m2),Aluminum Window,m2,Riyadh,Al-Safi Danone,721.25,2024-03-27,Premium
Aluminum Window (m2),Aluminum Window,m2,Riyadh,Saudi Building Materials Co.,721.25,2024-05-22,Premium
Aluminum Window (m2),Aluminum Window,m2,Riyadh,Saudi Ceramics,721.25,2024-09-10,Economy
Wooden Door (no),Wooden Door,no,Riyadh,Saudi Chemical Co.,1221.38,2024-11-28,Premium
Wooden Door (no),Wooden Door,no,Riyadh,Al-Ghurair,1221.38,2024-09-18,Premium
Wooden Door (no),Wooden Door,no,Riyadh,Al-Safi Danone,1221.38,2024-01-22,Standard
Gypsum Board (m2),Gypsum Board,m2,Riyadh,Bin Laden Group,37.36,2024-03-13,Economy
Steel Section (ton),Steel Section,ton,Riyadh,Bin Laden Group,4056.79,2024-09-22,Economy
Steel Section (ton),Steel Section,ton,Riyadh,Saudi Building Materials Co.,4056.79,2024-04-12,Standard
Glass (m2),Glass,m2,Riyadh,Kone Saudi,186.44,2024-02-14,Premium
Glass (m2),Glass,m2,Riyadh,Saudi Technical Supply,186.44,2024-10-26,Standard
Cement (ton),Cement,ton,Jeddah,Saudi Elevator,407.77,2024-05-13,Premium
Cement (ton),Cement,ton,Jeddah,Yamama Cement,407.77,2024-07-16,Economy
