project_id,item_code,description_ar,category,unit,quantity,unit_price_sar,confidence,waste_factor
SA-R00001,01PL,PVC pipe 110mm,Plumbing,no,2257.02,115.34,80,0.05
SA-R00001,02EA,Excavation for foundations,EarthWork,m3,1345.59,24.47,76,0.05
SA-R00001,03PL,Scratch coat,Plaster,m2,3990.66,27.12,93,0.1
SA-R00001,04HV,Split AC unit,HVAC,no,2727.09,2332.95,76,0.03
SA-R00001,05CO,RC beams,Concrete,m3,2837.11,444.04,81,0.05
SA-R00001,06EL,Escalator,Elevator,no,1224.74,243902.89,94,0.01
SA-R00001,07WI,Curtain wall,Windows,m2,1173.5,707.57,98,0.05
SA-R00001,08DO,Metal door,Doors,no,1315.02,1053.36,79,0.02
SA-R00001,09MA,Marble cladding,Marble,m2,2083.71,173.77,81,0.08
SA-R00001,10RE,Steel reinforcement 60ksi,Reinforcement,ton,3332.4,3577.22,91,0.07
SA-R00002,01EA,Excavation for foundations,EarthWork,m3,183.39,23.42,90,0.05
SA-R00002,02PA,Oil paint external,Paint,m2,197.66,15.68,96,0.1
SA-R00002,03HV,Air handling unit,HVAC,no,348.83,2440.98,97,0.03
SA-R00002,04CO,RC slabs,Concrete,m3,411.69,446.35,77,0.05
SA-R00002,05BL,Hollow concrete blocks 10cm,Block,m2,307.16,38.3,90,0.06
SA-R00002,06EL,PVC conduit,Electrical,no,133.21,81.63,84,0.05
SA-R00002,07PL,Floor drain,Plumbing,no,130.22,111.16,98,0.05
SA-R00002,08RE,Steel reinforcement 60ksi,Reinforcement,ton,417.4,3548.41,78,0.07
SA-R00003,01WI,Aluminum window sliding,Windows,m2,33037.4,747.85,83,0.05
SA-R00003,02MA,Marble cladding,Marble,m2,38193.38,192.27,84,0.08
SA-R00003,03DO,Wooden door,Doors,no,37374.67,1149.21,98,0.02
SA-R00003,04CO,RC columns,Concrete,m3,15438.38,442.08,92,0.05
SA-R00003,05PA,Oil paint external,Paint,m2,36061.24,17.65,90,0.1
SA-R00003,06EL,PVC conduit,Electrical,no,23181.58,86.04,93,0.05
SA-R00003,07WA,Polymer waterproofing,Waterproofing,m2,21685.66,51.56,86,0.08
SA-R00003,08BL,Hollow concrete blocks 15cm,Block,m2,30078.45,43.69,76,0.06
SA-R00003,09PL,Gypsum plaster,Plaster,m2,41498.28,29.29,87,0.1
SA-R00003,10HV,Diffuser,HVAC,no,20353.63,2591.6,84,0.03
SA-R00004,01PL,Cement plaster internal,Plaster,m2,2759.63,21.96,96,0.1
SA-R00004,02RE,Steel reinforcement 40ksi,Reinforcement,ton,2587.72,3006.51,77,0.07
SA-R00004,03FI,Fire hose cabinet,FireFighting,no,1296.32,282.04,93,0.03
SA-R00004,04MA,Marble flooring,Marble,m2,2542.49,151.55,75,0.08
SA-R00004,05CE,Wall tiles,Ceramic,m2,1468.52,52.75,80,0.1
SA-R00004,06BL,Hollow concrete blocks 20cm,Block,m2,2415.4,35.06,75,0.06
SA-R00004,07EL,Freight elevator,Elevator,no,2264.7,195521.54,82,0.01
SA-R00004,08EL,Wire 2.5mm,Electrical,no,984.9,69.88,90,0.05
SA-R00004,09CO,RC columns,Concrete,m3,3222.39,374.12,92,0.05
SA-R00004,10EA,Site grading,EarthWork,m3,2581.57,20.99,83,0.05
SA-R00004,11WI,Glass partition,Windows,m2,1419.25,624.7,96,0.05
SA-R00005,01EA,Excavation for foundations,EarthWork,m3,6248.25,23.42,95,0.05
SA-R00005,02DO,UPVC door,Doors,no,16466.53,1076.88,79,0.02
SA-R00005,03EL,Switch socket,Electrical,no,25313.92,75.16,76,0.05
SA-R00005,04CO,Plain concrete (PC),Concrete,m3,21292.22,448.88,87,0.05
SA-R00005,05RE,Steel reinforcement 60ksi,Reinforcement,ton,26964.34,3452.66,96,0.07
SA-R00005,06BL,Hollow concrete blocks 10cm,Block,m2,18444.14,39.67,99,0.06
SA-R00005,07PL,Scratch coat,Plaster,m2,13377.92,25.56,78,0.1
SA-R00005,08HV,Ductwork,HVAC,no,29874.25,2269.61,79,0.03
SA-R00005,09PL,Copper pipe 15mm,Plumbing,no,9933.94,107.9,90,0.05
SA-R00005,10WI,Aluminum window fixed,Windows,m2,7261.44,705.47,84,0.05
SA-R00005,11WA,Water stop,Waterproofing,m2,23364.27,46.9,90,0.08
SA-R00005,12EL,Escalator,Elevator,no,15027.79,227169.26,87,0.01
SA-R00006,01MA,Marble flooring,Marble,m2,728.59,167.11,77,0.08
SA-R00006,02EL,Freight elevator,Elevator,no,1254.12,233288.75,93,0.01
SA-R00006,03PL,Cement plaster external,Plaster,m2,1730.38,25.02,95,0.1
SA-R00006,04DO,Fire rated door,Doors,no,2075.76,1059.95,78,0.02
SA-R00006,05BL,AAC blocks,Block,m2,1021.67,39.8,96,0.06
SA-R00006,06CE,Ceramic tiles 40x40,Ceramic,m2,797.23,61.96,86,0.1
SA-R00006,07WA,Water stop,Waterproofing,m2,427.62,49.43,78,0.08
SA-R00006,08PA,Anti-mold paint,Paint,m2,1954.02,16.17,88,0.1
SA-R00007,01EA,Soil compaction,EarthWork,m3,8493.72,22.12,99,0.05
SA-R00007,02PL,Cement plaster internal,Plaster,m2,10883.18,24.03,86,0.1
SA-R00007,03CO,RC stairs,Concrete,m3,13629.17,418.77,87,0.05
SA-R00007,04EL,Passenger elevator 6 stop,Elevator,no,4086.34,228777.49,86,0.01
SA-R00007,05HV,Ductwork,HVAC,no,13566.17,2168.2,86,0.03
SA-R00007,06CE,Mosaic tiles,Ceramic,m2,8320.89,53.63,97,0.1
SA-R00008,01CE,Skirting,Ceramic,m2,43335.72,49.2,94,0.1
SA-R00008,02PL,PVC pipe 50mm,Plumbing,no,44340.38,89.18,87,0.05
SA-R00008,03DO,Metal door,Doors,no,56281.7,921.03,97,0.02
SA-R00008,04EA,Trench excavation,EarthWork,m3,39566.36,20.22,95,0.05
SA-R00008,05HV,Air handling unit,HVAC,no,25400.74,1873.62,92,0.03
SA-R00008,06CO,RC beams,Concrete,m3,15782.74,370.93,91,0.05
SA-R00008,07RE,Steel reinforcement 60ksi,Reinforcement,ton,25966.01,2865.08,96,0.07
SA-R00008,08BL,Concrete bricks,Block,m2,10871.06,32.75,82,0.06
SA-R00008,09PL,Scratch coat,Plaster,m2,40754.41,21.08,77,0.1
SA-R00009,01PA,Textured paint,Paint,m2,254.98,15.16,89,0.1
SA-R00009,02WA,Water stop,Waterproofing,m2,135.93,48.44,77,0.08
SA-R00009,03HV,Diffuser,HVAC,no,504.73,2189.92,98,0.03
SA-R00009,04PL,Water tank GRP,Plumbing,no,585.65,105.72,94,0.05
SA-R00009,05PL,Cement plaster internal,Plaster,m2,436.09,24.26,98,0.1
SA-R00010,01PL,Grey water pipe,Plumbing,no,94.56,104.02,96,0.05
SA-R00010,02BL,Hollow concrete blocks 20cm,Block,m2,491.3,40.46,86,0.06
SA-R00010,03WI,Aluminum window fixed,Windows,m2,334.15,684.25,84,0.05
SA-R00010,04PA,Emulsion paint internal,Paint,m2,77.15,16.4,94,0.1
SA-R00010,05CE,Porcelain tiles 60x60,Ceramic,m2,357.33,56.17,83,0.1
SA-R00010,06RE,Steel reinforcement 40ksi,Reinforcement,ton,210.7,3310.19,83,0.07
SA-R00010,07MA,Marble flooring,Marble,m2,439.02,162.63,91,0.08
SA-R00010,08EL,Freight elevator,Elevator,no,99.88,212833.76,98,0.01
SA-R00010,09HV,Split AC unit,HVAC,no,79.79,2328.45,83,0.03
SA-R00011,01EL,Passenger elevator 6 stop,Elevator,no,120.11,187259.6,75,0.01
SA-R00011,02WI,Aluminum window fixed,Windows,m2,46.67,595.9,79,0.05
SA-R00011,03EL,MCB,Electrical,no,70.84,65.67,82,0.05
