equipment_name,category,city,daily_rate_sar,with_operator
Excavator 20ton,Excavation,Riyadh,1182.5,true
Excavator 20ton,Excavation,Jeddah,1114.8,false
Excavator 20ton,Excavation,Makkah,1077.8,false
Excavator 20ton,Excavation,Madinah,1041.3,true
Excavator 20ton,Excavation,Dammam,1081.5,true
Excavator 20ton,Excavation,Khobar,1114.8,false
Excavator 20ton,Excavation,Taif,974.3,true
Excavator 20ton,Excavation,Abha,1032.4,true
Excavator 20ton,Excavation,Tabuk,1037.1,true
Excavator 20ton,Excavation,Buraydah,1121.1,true
Excavator 20ton,Excavation,Khamis Mushait,947.7,true
Excavator 20ton,Excavation,Najran,895.3,true
Excavator 20ton,Excavation,Hail,1029.2,false
Crane 50ton,Lifting,Riyadh,3711.6,true
Crane 50ton,Lifting,Jeddah,3313.2,true
Crane 50ton,Lifting,Makkah,3217.3,false
Crane 50ton,Lifting,Madinah,3179,true
Crane 50ton,Lifting,Dammam,3205.1,true
Crane 50ton,Lifting,Khobar,3440.7,true
Crane 50ton,Lifting,Taif,2871,true
Crane 50ton,Lifting,Abha,2805,false
Crane 50ton,Lifting,Tabuk,2823.5,false
Crane 50ton,Lifting,Buraydah,3042.6,false
Crane 50ton,Lifting,Khamis Mushait,2703,true
Crane 50ton,Lifting,Najran,2579.7,true
Crane 50ton,Lifting,Hail,2961.8,true
Concrete Pump,Concrete,Riyadh,1830.1,true
Concrete Pump,Concrete,Jeddah,1724.6,false
Concrete Pump,Concrete,Makkah,1543.8,true
Concrete Pump,Concrete,Madinah,1621.1,true
Concrete Pump,Concrete,Dammam,1606.5,true
Concrete Pump,Concrete,Khobar,1754.2,true
Concrete Pump,Concrete,Taif,1526.1,false
Concrete Pump,Concrete,Abha,1510.3,true
Concrete Pump,Concrete,Tabuk,1538.4,false
Concrete Pump,Concrete,Buraydah,1551.4,false
Concrete Pump,Concrete,Khamis Mushait,1374.5,true
Concrete Pump,Concrete,Najran,1422.3,true
Concrete Pump,Concrete,Hail,1501.2,false
Concrete Mixer,Concrete,Riyadh,593.9,true
Concrete Mixer,Concrete,Jeddah,560.2,true
Concrete Mixer,Concrete,Makkah,550.3,false
Concrete Mixer,Concrete,Madinah,559.6,true
Concrete Mixer,Concrete,Dammam,572.3,true
Concrete Mixer,Concrete,Khobar,599.1,false
Concrete Mixer,Concrete,Taif,518.6,true
Concrete Mixer,Concrete,Abha,521.7,true
Concrete Mixer,Concrete,Tabuk,483.6,false
Concrete Mixer,Concrete,Buraydah,518.4,true
Concrete Mixer,Concrete,Khamis Mushait,470.2,true
Concrete Mixer,Concrete,Najran,466.8,true
Concrete Mixer,Concrete,Hail,462.3,true
Dump Truck,Transportation,Riyadh,775.1,true
Dump Truck,Transportation,Jeddah,746,true
Dump Truck,Transportation,Makkah,755.6,true
Dump Truck,Transportation,Madinah,720.3,false
Dump Truck,Transportation,Dammam,700.6,true
Dump Truck,Transportation,Khobar,764.8,false
