trade,city,daily_rate_sar,year
Mason,Riyadh,184,2023
Mason,Jeddah,171,2024
Mason,Makkah,157.2,2024
Mason,Madinah,158.7,2024
Mason,Dammam,171.8,2024
Mason,Khobar,175,2025
Mason,Taif,149.8,2025
Mason,Abha,151.1,2023
Mason,Tabuk,145.2,2023
Mason,Buraydah,153.9,2024
Mason,Khamis Mushait,136.9,2024
Mason,Najran,139.1,2025
Mason,Hail,146.2,2025
Steel Fixer,Riyadh,225.2,2025
Steel Fixer,Jeddah,212.5,2025
Steel Fixer,Makkah,202.2,2025
Steel Fixer,Madinah,202.4,2025
Steel Fixer,Dammam,197.2,2024
Steel Fixer,Khobar,209.8,2024
Steel Fixer,Taif,181.3,2024
Steel Fixer,Abha,180.3,2024
Steel Fixer,Tabuk,174.1,2023
Steel Fixer,Buraydah,190.8,2024
Steel Fixer,Khamis Mushait,168.1,2025
Steel Fixer,Najran,165,2024
Steel Fixer,Hail,176.6,2025
Carpenter,Riyadh,192.4,2025
Carpenter,Jeddah,189.8,2023
Carpenter,Makkah,172.4,2024
Carpenter,Madinah,185.9,2024
Carpenter,Dammam,185.4,2024
Carpenter,Khobar,198.8,2024
Carpenter,Taif,167,2023
Carpenter,Abha,169,2025
Carpenter,Tabuk,156.5,2025
Carpenter,Buraydah,176.9,2023
Carpenter,Khamis Mushait,158.2,2023
Carpenter,Najran,155.3,2025
Carpenter,Hail,159.3,2023
Concrete Worker,Riyadh,169.9,2025
Concrete Worker,Jeddah,158.4,2023
Concrete Worker,Makkah,152.3,2024
Concrete Worker,Madinah,151.3,2024
Concrete Worker,Dammam,154.2,2025
Concrete Worker,Khobar,150.9,2023
Concrete Worker,Taif,148.5,2025
Concrete Worker,Abha,131.9,2025
Concrete Worker,Tabuk,140.6,2024
Concrete Worker,Buraydah,155.7,2025
Concrete Worker,Khamis Mushait,126.3,2025
Concrete Worker,Najran,131.1,2025
Concrete Worker,Hail,133.8,2024
Plasterer,Riyadh,180.7,2024
Plasterer,Jeddah,180.8,2024
Plasterer,Makkah,170.4,2023
Plasterer,Madinah,167.1,2024
Plasterer,Dammam,169.3,2025
Plasterer,Khobar,186.1,2024
Plasterer,Taif,159.9,2025
Plasterer,Abha,155.8,2025
Plasterer,Tabuk,151.2,2024
Plasterer,Buraydah,167.7,2025
Plasterer,Khamis Mushait,152.4,2025
Plasterer,Najran,152.4,2023
Plasterer,Hail,152,2025
Painter,Riyadh,174.2,2025
Painter,Jeddah,161.4,2025
Painter,Makkah,159.8,2025
Painter,Madinah,154.4,2023
Painter,Dammam,168.3,2024
Painter,Khobar,166.2,2024
Painter,Taif,152.3,2025
Painter,Abha,142.3,2025
Painter,Tabuk,142.2,2023
Painter,Buraydah,157,2024
Painter,Khamis Mushait,138.4,2024
Painter,Najran,137.4,2024
Painter,Hail,142.6,2025
Tiler,Riyadh,210.2,2024
Tiler,Jeddah,196,2025
Tiler,Makkah,194.5,2023
Tiler,Madinah,182,2024
Tiler,Dammam,204.7,2023
Tiler,Khobar,199.6,2025
