project_id,defect_type,severity,location,element_type,detected_by,confidence,status
SA-R00001,Efflorescence,Critical,Floor 2 - East Wing,Slab,Inspector,95,Resolved
SA-R00002,Crack,High,Floor 3 - Zone B,Wall,Inspector,81,InProgress
SA-R00003,Spalling,High,Floor 2 - Zone B,Slab,AI,89,Verified
SA-R00003,Honeycombing,Medium,Floor 1 - West Wing,Wall,Inspector,81,Open
SA-R00003,Crack,Critical,Floor 1 - East Wing,Slab,AI,77,InProgress
SA-R00004,Spalling,High,Floor 1 - Zone C,Slab,AI,79,Open
SA-R00004,Crack,Medium,Floor 1 - Zone C,Slab,Inspector,75,Resolved
SA-R00004,Spalling,High,Floor 2 - West Wing,Beam,Inspector,92,Resolved
SA-R00005,Settlement Crack,Critical,Floor 2 - Zone C,Foundation,AI,85,InProgress
SA-R00005,Corrosion,High,Floor 8 - Core Area,Column,Inspector,98,Resolved
SA-R00005,Corrosion,High,Floor 11 - Zone B,Foundation,Inspector,90,InProgress
SA-R00006,Crack,High,Floor 1 - Core Area,Wall,AI,77,InProgress
SA-R00007,Crack,High,Floor 1 - Core Area,Slab,Inspector,94,Open
SA-R00008,Corrosion,High,Floor 3 - West Wing,Column,Inspector,84,Verified
SA-R00008,Efflorescence,Critical,Floor 8 - Core Area,Wall,AI,75,Verified
SA-R00009,Spalling,High,Floor 1 - Core Area,Column,Inspector,78,Resolved
SA-R00009,Crack,Medium,Floor 1 - Zone A,Slab,Inspector,78,Open
SA-R00009,Corrosion,High,Floor 1 - Zone C,Column,AI,81,Verified
SA-R00010,Settlement Crack,Critical,Floor 3 - Zone C,Foundation,AI,87,Open
SA-R00010,Crack,Medium,Floor 1 - Zone C,Slab,AI,94,InProgress
SA-R00012,Honeycombing,Medium,Floor 5 - West Wing,Beam,AI,99,Verified
SA-R00012,Spalling,Critical,Floor 2 - Zone B,Column,Inspector,98,Open
SA-R00012,Crack,Medium,Floor 5 - Zone C,Beam,Inspector,84,Open
SA-R00013,Corrosion,Critical,Floor 1 - East Wing,Column,Inspector,89,Resolved
SA-R00013,Settlement Crack,High,Floor 4 - Zone C,Foundation,Inspector,82,Resolved
SA-R00013,Crack,Critical,Floor 4 - Core Area,Beam,AI,91,Verified
SA-R00014,Spalling,High,Floor 1 - Core Area,Slab,Inspector,99,Resolved
SA-R00015,Corrosion,High,Floor 2 - West Wing,Column,Inspector,95,Resolved
SA-R00015,Crack,Medium,Floor 6 - East Wing,Beam,AI,93,Open
SA-R00016,Crack,Critical,Floor 7 - Zone B,Wall,AI,87,Open
SA-R00018,Corrosion,Critical,Floor 2 - East Wing,Foundation,AI,86,Verified
SA-R00018,Corrosion,High,Floor 2 - West Wing,Column,AI,76,Verified
SA-R00018,Crack,Medium,Floor 2 - West Wing,Beam,AI,91,Verified
SA-R00019,Spalling,Critical,Floor 3 - Zone A,Slab,AI,75,Open
SA-R00020,Corrosion,High,Floor 1 - East Wing,Beam,Inspector,77,Verified
SA-R00020,Honeycombing,Medium,Floor 1 - West Wing,Wall,Inspector,80,Open
SA-R00021,Honeycombing,Medium,Floor 2 - Zone A,Beam,Inspector,85,InProgress
SA-R00021,Corrosion,High,Floor 2 - Core Area,Beam,AI,88,Verified
SA-R00022,Spalling,High,Floor 4 - East Wing,Beam,Inspector,89,Resolved
SA-R00022,Spalling,High,Floor 2 - West Wing,Slab,Inspector,97,Open
SA-R00023,Corrosion,High,Floor 3 - Zone A,Column,Inspector,86,Resolved
SA-R00023,Crack,Medium,Floor 2 - West Wing,Column,AI,95,InProgress
SA-R00024,Honeycombing,Medium,Floor 2 - Zone B,Column,Inspector,92,InProgress
SA-R00024,Settlement Crack,Critical,Floor 2 - East Wing,Foundation,Inspector,91,Verified
SA-R00024,Efflorescence,Low,Floor 1 - Zone B,Wall,AI,89,Open
SA-R00025,Crack,Medium,Floor 2 - East Wing,Column,Inspector,80,InProgress
SA-R00025,Corrosion,High,Floor 2 - Core Area,Beam,AI,92,Verified
SA-R00025,Corrosion,High,Floor 3 - West Wing,Foundation,AI,88,InProgress
SA-R00026,Efflorescence,High,Floor 2 - West Wing,Wall,AI,91,Open
SA-R00026,Crack,Medium,Floor 1 - Zone C,Beam,Inspector,88,Verified
SA-R00026,Corrosion,High,Floor 1 - Core Area,Beam,AI,80,InProgress
SA-R00027,Crack,Medium,Floor 4 - Zone C,Column,AI,84,InProgress
SA-R00027,Crack,Medium,Floor 1 - Zone B,Column,Inspector,89,Verified
SA-R00028,Settlement Crack,High,Floor 1 - Core Area,Foundation,Inspector,92,InProgress
SA-R00028,Crack,Medium,Floor 1 - Zone B,Column,Inspector,92,Open
SA-R00028,Corrosion,High,Floor 1 - Zone B,Beam,Inspector,89,Open
SA-R00029,Spalling,High,Floor 2 - Zone A,Slab,AI,78,Open
SA-R00029,Spalling,High,Floor 3 - Zone B,Column,AI,92,Resolved
SA-R00029,Settlement Crack,Critical,Floor 2 - West Wing,Foundation,AI,87,Open
SA-R00030,Corrosion,Critical,Floor 1 - Zone B,Beam,Inspector,75,Resolved
SA-R00030,Corrosion,High,Floor 5 - Zone B,Beam,AI,91,Verified
SA-R00030,Corrosion,High,Floor 2 - West Wing,Foundation,AI,90,Resolved
SA-R00031,Settlement Crack,Critical,Floor 1 - Core Area,Foundation,Inspector,76,Resolved
SA-R00032,Crack,Medium,Floor 1 - West Wing,Wall,Inspector,99,Resolved
SA-R00032,Honeycombing,Critical,Floor 1 - Zone B,Wall,AI,91,Resolved
SA-R00033,Corrosion,Critical,Floor 9 - Zone B,Foundation,AI,81,InProgress
SA-R00034,Settlement Crack,Critical,Floor 3 - Zone A,Foundation,AI,90,InProgress
SA-R00034,Corrosion,High,Floor 3 - West Wing,Column,Inspector,89,InProgress
SA-R00034,Corrosion,High,Floor 2 - Zone B,Column,AI,76,Verified
SA-R00037,Spalling,High,Floor 3 - West Wing,Column,Inspector,85,InProgress
SA-R00037,Settlement Crack,Critical,Floor 5 - East Wing,Foundation,Inspector,97,Verified
SA-R00038,Efflorescence,Low,Floor 11 - West Wing,Slab,AI,90,Open
SA-R00038,Corrosion,High,Floor 6 - Zone A,Column,Inspector,78,Resolved
SA-R00039,Settlement Crack,Critical,Floor 1 - Core Area,Wall,Inspector,75,InProgress
SA-R00040,Corrosion,High,Floor 4 - West Wing,Foundation,AI,86,Open
SA-R00040,Crack,Medium,Floor 5 - Core Area,Beam,Inspector,80,Verified
SA-R00041,Corrosion,Critical,Floor 6 - East Wing,Beam,Inspector,99,Open
SA-R00041,Efflorescence,Low,Floor 4 - East Wing,Wall,AI,75,InProgress
