supplier_name,city,speciality,rating,delivery_speed_days,contract_years,compliance_percent,total_deals
Saudi Ceramics - 1,Khobar,General Construction,3.8,3,8,82,291
Al-Fanar Group - 2,Najran,Concrete,4.1,6,4,87,394
Otis Saudi - 3,Dammam,Electrical,4.2,17,0,87,8
ABB Saudi - 4,Taif,Plumbing,3.2,12,10,85,356
ABB Saudi - 5,Madinah,Steel,4.1,11,6,96,92
Qassim Cement - 6,Riyadh,General Construction,4.3,15,0,96,58
Al-Yamama Steel - 7,Tabuk,HVAC,4.1,15,7,80,317
Bin Laden Group - 8,Tabuk,Steel,4.3,4,2,83,386
Siemens Saudi - 9,Khamis Mushait,Steel,4.1,13,4,93,94
Arabian Construction Supply - 10,Najran,Finishing,4.7,18,6,88,32
Saudi Elevator - 11,Makkah,Finishing,4.1,14,5,92,263
Arabian Pipes - 12,Tabuk,HVAC,4.2,1,5,77,168
Saudi Cable - 13,Taif,Concrete,4.9,12,2,85,444
Qassim Cement - 14,Abha,Plumbing,4.3,15,6,96,316
Qassim Cement - 15,Najran,Electrical,4,18,7,99,261
Al-Omran Group - 16,Najran,Plumbing,2.9,18,4,93,222
Al-Rajhi Steel - 17,Jeddah,Steel,4.4,20,5,93,417
Al-Dabbagh Group - 18,Khobar,General Construction,4.9,5,1,98,440
Al-Ghurair - 19,Najran,Plumbing,4.2,6,8,93,224
Saudi Panel - 20,Dammam,Concrete,3.7,18,6,75,93
Arabian Pipes - 21,Buraydah,General Construction,4,7,1,100,433
Al-Jabr Trading - 22,Khamis Mushait,HVAC,4.3,16,5,84,167
Saudi Elevator - 23,Hail,HVAC,4,6,0,95,357
Al-Safi Danone - 24,Taif,Electrical,4.4,9,9,95,77
Safwa Cement - 25,Makkah,Concrete,3.6,10,10,83,173
Yamama Cement - 26,Dammam,General Construction,3.3,5,10,82,210
Al-Omran Group - 27,Najran,General Construction,4.2,8,10,81,52
Al-Safi Danone - 28,Khobar,Finishing,2.6,4,2,91,460
Schneider Saudi - 29,Buraydah,Concrete,3.5,8,0,78,345
Al-Wehaiby Co. - 30,Abha,Concrete,4.8,20,6,78,486
Al-Madina Cement - 31,Dammam,Concrete,4.5,21,3,94,436
Arabian Cement - 34,Madinah,Concrete,4.2,20,4,96,114
National Gypsum - 35,Makkah,Finishing,4.4,21,3,83,265
ABB Saudi - 36,Riyadh,Plumbing,4.3,6,3,93,174
Siemens Saudi - 37,Buraydah,Concrete,4.1,14,1,81,168
Arabian Construction Supply - 39,Tabuk,Electrical,3.9,4,4,95,402
Saudi Modern Factory - 40,Khamis Mushait,Plumbing,3.5,16,5,87,285
National Ready Mix - 41,Riyadh,Steel,4.6,21,6,86,385
Saudi Plaster - 42,Khobar,Finishing,3,12,4,83,179
Saudi Modern Factory - 43,Buraydah,Plumbing,4.5,3,2,96,163
Al-Yamama Steel - 44,Taif,Finishing,4.5,7,8,76,64
Saudi Modern Factory - 46,Tabuk,Plumbing,3.2,1,10,79,356
Kone Saudi - 48,Riyadh,Concrete,4.6,14,7,93,235
Al-Wehaiby Co. - 49,Khobar,Finishing,3.8,17,2,99,111
Al-Omran Group - 50,Jeddah,Finishing,4.3,15,0,97,182
Sahara PVC - 51,Makkah,General Construction,3.8,1,7,85,399
Schneider Saudi - 52,Taif,Electrical,3.5,2,1,77,396
Arabian Construction Supply - 53,Khobar,HVAC,4,20,10,94,392
Al-Yamama Steel - 55,Khamis Mushait,Concrete,4.4,5,5,84,338
Arabian Construction Supply - 57,Abha,HVAC,3.3,9,5,80,337
ABB Saudi - 58,Madinah,HVAC,3.2,7,2,97,313
Southern Province Cement - 59,Riyadh,Finishing,4.4,16,10,95,342
Otis Saudi - 62,Abha,General Construction,4.8,12,8,100,249
Southern Province Cement - 63,Jeddah,Steel,3.8,13,1,87,52
Saudi Plaster - 64,Khobar,Plumbing,4,1,1,96,320
Al-Rajhi Steel - 65,Taif,Finishing,4.4,21,0,84,440
Saudi Technical Supply - 66,Abha,Finishing,3.9,3,4,80,303
Safwa Cement - 67,Jeddah,Steel,3.7,21,7,97,330
Saudi Plaster - 68,Dammam,General Construction,3.8,19,0,87,11
Otis Saudi - 69,Khobar,HVAC,3.1,15,8,91,133
Al-Ghurair - 70,Tabuk,Finishing,3.9,1,1,85,226
Bin Laden Group - 71,Madinah,HVAC,4.6,12,8,91,163
Saudi Modern Factory - 72,Jeddah,Electrical,4.5,14,5,92,90
Al-Jabr Trading - 73,Makkah,Finishing,4.2,21,10,83,353
Saudi Technical Supply - 75,Hail,Plumbing,4.2,18,1,75,247
Qassim Cement - 78,Khamis Mushait,Finishing,4.3,1,2,85,199
Sahara PVC - 79,Taif,Finishing,4.2,16,0,88,237
Southern Province Cement - 81,Tabuk,Finishing,4.4,13,1,89,255
Southern Province Cement - 82,Dammam,Steel,4.1,2,6,81,13
Dubai Cable - 83,Taif,Electrical,4,8,7,99,279
Al-Madina Cement - 84,Abha,HVAC,3.7,21,6,94,11
Al-Babtain Group - 85,Dammam,HVAC,3.7,18,9,90,148
